"habitat","caterpillar_count"
"A",4
"A",7
"A",4
"A",8
"A",9
"A",2
"A",5
"A",8
"A",5
"A",5
"A",9
"A",5
"A",6
"A",5
"A",2
"A",8
"A",3
"A",2
"A",4
"A",9
"A",8
"A",6
"A",6
"A",11
"A",6
"A",6
"A",5
"A",5
"A",4
"A",3
"B",15
"B",11
"B",3
"B",7
"B",6
"B",8
"B",6
"B",8
"B",4
"B",6
"B",6
"B",8
"B",5
"B",12
"B",12
"B",12
"B",12
"B",11
"B",9
"B",9
"B",8
"B",7
"B",12
"B",9
"B",13
"B",7
"B",8
"B",8
"B",12
"B",9
"C",15
"C",14
"C",14
"C",20
"C",14
"C",20
"C",9
"C",10
"C",15
"C",16
"C",13
"C",13
"C",11
"C",16
"C",19
"C",17
"C",16
"C",18
"C",14
"C",14
"C",11
"C",12
"C",17
"C",14
"C",12
"C",15
"C",14
"C",15
"C",16
"C",13
"D",22
"D",19
"D",21
"D",24
"D",21
"D",18
"D",25
"D",24
"D",22
"D",21
"D",17
"D",25
"D",17
"D",26
"D",18
"D",15
"D",27
"D",20
"D",25
"D",17
"D",19
"D",16
"D",22
"D",18
"D",26
"D",27
"D",22
"D",18
"D",20
"D",26
"E",24
"E",17
"E",20
"E",29
"E",27
"E",26
"E",27
"E",34
"E",28
"E",21
"E",25
"E",20
"E",30
"E",30
"E",33
"E",25
"E",23
"E",25
"E",36
"E",34
"E",17
"E",19
"E",36
"E",13
"E",26
"E",19
"E",24
"E",24
"E",17
"E",29
